UIC,Gare,Jour de la semaine,Horaire en jour normal,Horaire en jour férié
87718239,Lons-le-Saunier,Mardi,05:00-21:05,06:00-23:05
87713859,Is-sur-Tille,Mercredi,04:30-23:15,
87696146,Cosne-sur-Loire,Jeudi,05:10-22:45,07:00-22:45
87694687,Paray-le-Monial,Samedi,05:15-22:10,09:00-22:10
87694307,Montchanin,Samedi,06:00-20:30,
87683789,Avallon,Mardi,04:10-22:10,09:00-22:10
87683789,Avallon,Mercredi,04:10-22:10,09:00-22:10
87743005,Bourg-en-Bresse,Mardi,05:00-21:00,05:00-21:00
87743005,Bourg-en-Bresse,Vendredi,05:00-21:00,05:00-21:00
87713578,Chagny,Vendredi,05:30-23:15,05:30-23:15
87713545,Beaune,Mardi,05:35-23:15,05:35-23:15
87696146,Cosne-sur-Loire,Vendredi,05:10-22:45,07:00-22:45
87694620,Montceau-les-Mines,Lundi,07:45-12:10,14:05-19:30
87694307,Montchanin,Lundi,05:30-22:00,
87713578,Chagny,Dimanche,05:30-23:15,05:30-23:15
87696005,Nevers,Samedi,04:00-22:15,04:00-23:00
87694687,Paray-le-Monial,Dimanche,09:00-22:10,09:00-22:10
87743005,Bourg-en-Bresse,Lundi,05:00-21:00,05:00-21:00
87713545,Beaune,Samedi,05:35-23:15,05:35-23:15
87696146,Cosne-sur-Loire,Mardi,05:10-22:45,07:00-22:45
87694620,Montceau-les-Mines,Mardi,07:45-12:10,14:05-19:30
87694307,Montchanin,Mardi,05:30-22:00,
87694307,Montchanin,Dimanche,07:00-22:00,
87725002,Chalon-sur-Saône,Dimanche,05:30-23:30,05:30-23:30
87696005,Nevers,Dimanche,04:00-23:00,04:00-23:00
87694687,Paray-le-Monial,Mardi,05:15-22:10,09:00-22:10
87694687,Paray-le-Monial,Mercredi,05:15-22:10,09:00-22:10
87694620,Montceau-les-Mines,Mardi,13:00-17:50,14:05-19:30
87694620,Montceau-les-Mines,Vendredi,13:00-17:50,14:05-19:30
87694620,Montceau-les-Mines,Dimanche,14:05-19:30,14:05-19:30
87683003,Sens,Mardi,04:00-00:15,10:00-20:00
87683003,Sens,Samedi,06:00-20:00,10:00-20:00
87713859,Is-sur-Tille,Mardi,04:30-23:15,
87713859,Is-sur-Tille,Jeudi,04:30-23:15,
87713131,Montbard,Jeudi,05:45-22:00,06:45-22:10
87713131,Montbard,Dimanche,06:45-22:10,06:45-22:10
87118299,Bar-sur-Aube,Mardi,08:30-12:00,
87185249,Lure,Dimanche,05:30-22:45,05:30-22:45
87743005,Bourg-en-Bresse,Samedi,05:00-21:00,05:00-21:00
87696005,Nevers,Jeudi,04:00-22:15,04:00-23:00
87715003,Pontarlier,Samedi,05:15-21:45,06:00-21:45
87713578,Chagny,Mercredi,05:30-23:15,05:30-23:15
87696146,Cosne-sur-Loire,Dimanche,07:00-22:45,07:00-22:45
87694620,Montceau-les-Mines,Mercredi,13:00-17:50,14:05-19:30
87683003,Sens,Vendredi,04:00-00:15,10:00-20:00
87118299,Bar-sur-Aube,Lundi,08:30-12:00,
87715003,Pontarlier,Mardi,04:45-21:45,06:00-21:45
87683003,Sens,Dimanche,10:00-20:00,10:00-20:00
87185249,Lure,Mercredi,05:30-22:45,05:30-22:45
87184002,Belfort,Mercredi,04:35-23:00,05:25-23:00
87713578,Chagny,Lundi,05:30-23:15,05:30-23:15
87713545,Beaune,Vendredi,05:35-23:15,05:35-23:15
87696005,Nevers,Vendredi,04:00-22:15,04:00-23:00
87683789,Avallon,Samedi,05:35-21:00,09:00-22:10
87185009,Vesoul,Samedi,07:10-22:30,06:00-22:30
87743005,Bourg-en-Bresse,Jeudi,05:00-21:00,05:00-21:00
87715003,Pontarlier,Mercredi,04:45-21:45,06:00-21:45
87713131,Montbard,Mercredi,05:45-22:00,06:45-22:10
87683789,Avallon,Jeudi,04:10-22:10,09:00-22:10
