Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Art Danse,Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,247104094,CC Sud Côte Chalonnaise,6,Avenue,des Grésilles,6 Avenue des Grésilles,,http://art-danse.org/ // www.ledancing.com,info@ledancing.com,De 1990 à 1999,1989,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1963,"47.3229437965, 5.03788805877",
Festival international d'opéra baroque & romantique de Beaune,Interrégionale,Bourgogne-Franche-Comté,Côte-d'Or,Beaune,21200,21054,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",10,Rue,Eugène Spuller,10 Rue Eugène Spuller,BP 60071,festivalbeaune.com,festival.beaune@orange.com,De 1980 à 1989,1982,Musique,,"Musique classique, Opéra",,,,,Saison (21 juin - 5 septembre),,FEST_21054_690,"47.0255189366, 4.83767985985",
Festival de BD à Semur,Départementale,Bourgogne-Franche-Comté,Côte-d'Or,Semur-en-Auxois,21140,21603,200071017,CC des Terres d'Auxois,25,Rue,de la Liberté,25 Rue de la Liberté,rue des Coquelicots,https://unlienpourtous.wixsite.com/bd-a-semur,unlienpourtous@gmail.com,De 2000 à 2009,2006,"Livre, littérature",,,,,,"Bande dessinée, comics, manga",Avant-saison (1er janvier - 20 juin),,FEST_21603_6321,"47.4909559267, 4.34106366761",
Salon du livre jeunesse Crocmillivre,,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,5,Rue,Devosge,5 Rue Devosge,Salle Devosge,www.crocmillivre.com,grangier.communication@gmail.com,De 2000 à 2009,2008,"Livre, littérature",,,,,,Jeunesse,Après-saison (6 septembre - 31 décembre),,FEST_21231_1992,"47.3229437965, 5.03788805877",
Musicales du Château de Commarin,,Bourgogne-Franche-Comté,Côte-d'Or,Commarin,21320,21187,200071207,CC de Pouilly-en-Auxois/Bligny-sur-Ouche,10,Rue,du château,10 Rue du château,Château de Commarin,https://www.amis-chateau-commarin.com/,amischateaucommarin@gmail.com,2010 et après,2019,Musique,,Musique classique,,,,,Après-saison (6 septembre - 31 décembre),,FEST_21187_1763,"47.2495525979, 4.65314181407",
Rising Fest,,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://fr-fr.facebook.com/Risingfest.dijon // https://risingfest.wixsite.com/risingfest,,2010 et après,2011,Musique,,,02- Musiques amplifiées ou électroniques,,,,Après-saison (6 septembre - 31 décembre),,FEST_21231_1991,"47.3229437965, 5.03788805877",1253
Le Sirk festival,,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,www.lesirkfestival.com,contact@lesirkferstival.com,2010 et après,2016,Musique,,"Musiques électroniques, techno",,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1983,"47.3229437965, 5.03788805877",
ViniBD et festival bandes dessinées & Jeunesse,Départementale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,1,Rue,Tissot,1 Rue Tissot,,https://www.labandeadhoc.fr,pafauchard17@orange.fr,2010 et après,2014,"Livre, littérature",,,,,,"Bande dessinée, comics, manga",Avant-saison (1er janvier - 20 juin),,FEST_21231_1995,"47.3229437965, 5.03788805877",
Clameur(s),Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,,,,,,https://clameurs.dijon.fr/#,pgrimaldi@metropole-dijon.fr,2010 et après,2017,"Livre, littérature",,,,,,"Fictions, non-fiction, polar, poésie, bande dessinée",Avant-saison (1er janvier - 20 juin),,FEST_21231_1966,"47.3229437965, 5.03788805877",
Théâtre en mai,Transfrontalière,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,21000,21231,242100410,Dijon Métropole,30,Rue,D’Ahuy,30 Rue D’Ahuy,CDN TDB,http://www.tdb-cdn.com/,v.philibert@tdb-cdn.com,De 1980 à 1989,1989,Spectacle vivant,Théâtre,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_21231_1993,"47.3229437965, 5.03788805877",
